id,new,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
i16src,,IA-16 GCC Sources,Sources de la chaîne d'outils IA-16 GCC,,"gcc, compiler, binutils, as, ld, djgpp, ia16, elf",,"DOS, Linux","GNU General Public License, version 3 or later",ea5f4249814d0b02b6abfd9c42d89e0da98484aac658581f214efba131870972
ihpfs,,iHPFS,Mapppe une partition HPFS (OS/2)  en tant que lecteur sous DOS pur (en lecture uniquement),,"tsr, os/2, drive",,dos,"GNU General Public License, Version 2",e46a761372096d618ab56296bc22bcacc7a3d00e1078213a87669759f52e0ce4
insight,,Insight Debugger,Débogueur mode réel DOS 16 bits,,"freedos, débogueur, débogage",,dos,"GNU General Public License, Version 2",6169fc67d49471e2250869d927593f292f95b7f0b2278d11c16c69e992bea27e
installx,,FreeDOS v1.1 Installer,INSTALL est une interface utilisateur en mode texte pour installer des paquets FreeDOS (compressés/zip).,,"freedos, installation, installer, zip, unzip",,DOS (openwatcom),GNU General Public License,88773c7296d9daa3028d0424b398ea5faae16e35dbd962a6dc1969d4031c3a1d
ivan,,Iter Vehems ad Necem,Un jeu graphique similaire à rogue.,,,,"DOS, Windows","GNU General Public License, Version 2",07d96ab110e6af846b8b2a80df43f3901480603fb08431f456d8af5702bf669d
jemm,,JEMM386,"Jemm386 est un gestionnaire de mémoire étendu pour DOS, basé sur la source de FreeDOS EMM386. Il présente plusieurs avantages par rapport à EMM386 FreeDOS et/ou MS-DOS. * nécessite seulement 192 octets de mémoire DOS * nécessite très peu de mémoire étendue * est plus rapide * fonctionne avec  MS-DOS, FreeDOS et EDR-DOS * utilisera des fonctionnalités implémentées sur des processeurs ultérieurs pour augmenter la vitesse * contrairement à FreeDOS Emm386, Jemm386 prend en charge complétement le VDS * peut être chargé depuis la ligne de commande",,"HIMEM + EMM386, STABLE, COMPATIBILITÉ, gestionnaire de mémoire, jemmex, himemx",,"DOS, FreeDOS",Artistic License,44d57b580d6bff7db25f81e6793c3938be92858f9765b6d67527805460bd2e17
jumpbump,,Jump'n Bump,Jump'n Bump est un jeu de tir sanglant avec des lapins duveteux,,,,DOS,Emailware,884be69a5a0fd2dd42d3ce76fe4e77d470f4fbb88c18ac1f183711ee4b6509b7
jwasm,,JWasm,"JWasm est un assembleur libre compatible MASM prenant en charge la génération de code 16, 32 et 64 bits.",,"asm, compilateur, assembleur, wasm, jwasm",,"DOS, FreeDOS","Sybase Open Watcom Public License, Version 1.0",b7e86afd5cee898bbdb77db5a7de8aca82a19a1526c6a7987347538ddf34d15e
kernel,,The FreeDOS Kernel,Le noyau FreeDOS (prend en charge FAT12/FAT16/FAT32),,"noyau, FreeDOS, DOS, MSDOS",,"DOS, FreeDOS, DOSEMU (OpenWatcom C or Turbo C, NASM, UPX)","GNU General Public License, Version 2",feb32ed1b88a2b3cd5cf4110308ec0cc11dd373156d47bbab1b77091963c8096
keyb,,keyb,Pilote de clavier (niveau BIOS) pour un support international,,"keyb, clavier, pilote",,DOS,"GNU General Public License, Version 2",fa1aabf10795b6411e07f4e8feb783e5f374cf934c3169df92f71aa487d02a83
