id,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
dosdef,DOS Defender,"DOS Defender is an x86 real mode DOS game for Ludum Dare #31 (December, 2014). Since few DOS machines still exist, the target platform is actually DOSBox, though it should work to some extent on any DOS system. The game can be played with a mouse but it's intended to be played with a joystick/gamepad.",,games,,DOS,Public Domain,788250476e2575ae9d3612748c59865c0ca690a93607e038d0b83216705f8b0c
dosfsck,DOSFSCK,checks the consistency of PC/MS-DOS file systems and optionally tries to repair them,,"scandisk,chkdsk",,DOS,"GNU General Public License, Version 2",d576d15fe364628368f889e5c302b340abe55616703b9805258d629b04d15221
doshexed,DOSHEXED,Hex editor and viewer,,hex editor viewer debug,,DOS,"GNU General Public License, Version 3",def6b12f5281fde6821e50aec7ab38aec88749110eb7894954ec5f13f12e6aef
doslfn,DOSLFN,Provides the long filename (LFN) API in plain DOS (without Windows),,"long file name, lfn",,dos ('386+),Freeware w/sources,230250d09645addafa6f423ae7a4d9fc24d21f2ca5e4d3c9e5d99d3eca2b036d
dosmid,DOSMid,"MIDI player for many synthesizers (AWE, MPU-401, OPL...)","DOSMid is a MIDI and MUS player for DOS. It's a real mode application designed to run on very modest hardware configurations. It plays standard MIDI files, as well as MIDI in RIFF (ie. RMID), and MUS tunes (as used by Id Software in numerous games like Doom, Heretic, Hexen, etc).","midi,mus,rmid,player",,DOS,Simplified (2-Clause) BSD License,dfb5ed98369a798ab081cb2f02e2ddd13275088d086b6f42b0eab74645edb677
dosrifs,DOSRIFS,Drive sharing TSR between two PCs over serial link (drive mapping),,"tsr, drive, network",,dos,Freeware w/sources,c35c52309380d0c52564339e5e5a01b5279fa02e05807104e7d0b5eddec48050
dosutil,DOSUTIL,A collection of small utilities for batchfiles,,DOSUTILS SCRDUMP,,,European Union Public License v1.1,a6dc7c0222b7c27065be2f44d68e604a9f012d23723d34446c519cc24ef9cafb
doszip,Doszip Commander,a small LFN-aware file manager with built-in (un)zipper. It is built with JWasm and OpenWatcom. Includes full sources for DOS and Windows,,DOS FreeDOS,,DOS WIN32,"GNU General Public License, Version 2",f9c4a581c74f6f0eac76d95cb09eb18e5051cc5a7c5b84da3c2be0e40159f93e
drmind,Dr. Mind,Dr. Mind is a PC adaptation of the Mastermind (TM) board game.,"Dr. Mind is a PC adaptation of a well-known board game. The computer generates a secret color code, and the player has to figure out the exact pattern within 8 turns. After each turn, the computer provides clues about how many colors matched the solution. The game features a set of 24 pictures that are initially blured - every time you work out a valid code combination, you are rewarded with a picture. This game is published under the CC BY-ND 4.0 license, which is roughly equivalent to 'freeware with source code'. (packaged for FreeDOS)","mind,mastermind,games",,DOS,Creative Commons Attribution-NoDerivatives 4.0 International Public License,fda8bf13a1e86288056a0d0dc13443fbf3213705db7978406d4fb8c50794189d
drmindlt,Dr. Mind (Lite),Dr. Mind is a PC adaptation of the Mastermind (TM) board game. The Lite version does not include images.,"Dr. Mind is a PC adaptation of a well-known board game. The computer generates a secret color code, and the player has to figure out the exact pattern within 8 turns. After each turn, the computer provides clues about how many colors matched the solution. The game features a set of 24 pictures that are initially blured - every time you work out a valid code combination, you are rewarded with a picture. This game is published under the CC BY-ND 4.0 license, which is roughly equivalent to 'freeware with source code'. (packaged for FreeDOS)","mind,mastermind,games",,DOS,Creative Commons Attribution-NoDerivatives 4.0 International Public License,96a1f28318526de0b21837f16d40d27ff203c52ac36b16bde2007bfda72598ea
drvexch,DRVEXCH,permits reassigning drive letters under DOS,,"dos, drive, exchange, swap",,DOS,'Modified' BSD License,d619d26fdb8126a9c46f5dd0a7cc096527aa3091762a9b86a8593e0eea50181a
du,DU,"Display disk usage, ala UNIX 'du'",,"du, display disk usage",,"DOS, FreeDOS","GNU General Public License, Version 2",6e2adcbddac3411f2182e222decacc7dc58df9b2c3d0b0a7747962513bc995f0
dwed,DosWorld,Text file editor and IDE for MS-DOS and 8086/88 CPU (IBM XT-grade PC) designed in modern style.,,"editor, pascal",,DOS,MIT License,0a816dab23239d3c3c61cd9d8e3ab750d036c86ee11731ccb4838af88382939a
dwol,DWOL,a tiny tool that computes and sends 'wake-on-lan' packets,,dos net,,DOS,MIT License,b7c4f84b26b6ca48701609266f8c04eaec3247860f8c8c3360d0fe00b5d1a1d6
dzemm,DZEMM,Doszip Expanded Memory Manager (EMM),,DOS FreeDOS EMS XMS EMM,,DOS WIN32,"GNU General Public License, Version 2",95e3f465bdf4a8af4878dc777974482228219131f7985b529fc4b33788be87a7
e1000pkt,E1000PKT,"Packet driver for Intel(R) PRO/1000 adapters, f.i. 82544, 82540, 82545, 82541, and 82547 based Ethernet controllers.",,"82544, 82540, 82545, 82541, 82547, GIGPKTDRVR, Gigabit Packet Driver",,DOS,"GNU General Public License, Version 2.",9be94ba9f9dbf70bfc77fee529859076ccb86d7978bb2f440a98e474010a9372
e100pkt,E100PKT,packet driver for dos,,"net, ethernet, packet, driver, e100, intel",,DOS (NASM),"GNU General Public License, Version 3",3e1c23a817afc1f502fdc14fedb1c440b9a6682841e88ce05642f0a909c01b0b
e3,e3,a mini text editor that comes in both a 32 and 16bit version,,editor,,DOS,"GNU General Public License, Version 2",b5f281f93fc9d488eb09b2371150d47c1ecc1fa4a13d939d2dfb3b07d32a9f4d
edict,EDICT,Enhanced Disk Image Creation Tool - disk image creation utility for floppy disks with problems,,dos 16 bit,,DOS,Simplified (2-Clause) BSD License,18610bb77c9f034456011389bccfef715ac5974596c4f98b0d4e4e3d2d3a8e38
edit,FreeDOS Edit,FreeDOS improved clone of MS-DOS Edit,,Edit Editor,,DOS (Borland C),"GNU General Public License, Version 2",f46a111e065b2d0039fba8611faf1ae8c74706e704a68cd421feaaf1a8401e57
edlin,EDLIN,The edlin program is the FreeDOS standard line editor. (UPX Compressed),,"edit, editor, line editor",,"DOS (Microsoft Visual C++ in C mode, Borland C++), FreeDOS, OpenWatcom, Linux (gcc)","GNU General Public License, Version 2",cfd4365d9fdcda2787e965026cb66466af422d6dbe3b936ed51b735455d3cf5c
eliza,Eliza,one of the earliest computer chatterbots AI,,,,DOS,Public Domain,1618d2eaf92e817ae6696c3db2b2c8dea267440fceb6a236e9d70dd70e5c594b
eltorito,ElTorito,Simple package for the SysLinux ElTorito CD Driver.,,,,DOS,"GNU General Public License, Version 2",8054d580df67abd456541672285c07a0aaf666b6a4dbcc7bb59001169f146c2f
elvis,elvis,"a clone of vi/ex, the standard UNIX editor. Supports nearly all vi/ex commands",,"vi, editor",,,Clarified Artistic License,f38f17d3a1ce3f04c929d7af7e4c36465300563e4d18e540bcfba39746cc038b
emm386,EMM386,"Provides EMS, XMS, VDS, UMBs, HMA, and VCPI for dos applications",,EMM386 UMB EMS HIMEM XMS VDS USB POOL SHARING STABLE QEMU VPC A20 REBOOT UPX --8086,,DOS,Artistic License,4c44701dc2fe06805cfd6a080d40da8e4376bca44bfa0dfc3946f5476d7e8e62
empong,Emeritus Pong,Emeritus Pong is a clone of the good old 'Pong' game.,,"Pong, Games",,DOS,"GNU General Public License, Version 3",0b7df9d86bddd9e718b955d420d4e37a44ab4a8ccfe1ac2ecf517bb1f1f57497
