id,title,description,summary,keywords,mirror-site,platforms,copying-policy,sha
srdisk,SRDISK (resizeable RAM disk),Resizeable Ramdisk. Srdisk is fast and able to use over 32 MB of XMS and EMS memory. The size of the disk can be changed without rebooting or loss of content. Diskcopy compatible.,,"extension, utility, ramdisk",,"DOS, FreeDOS","GNU General Public License, Version 2",2b318d1635449fc92510dc723fb11e2e94fb8dd10f1b6526b4d1b8b41d917837
ssh2dos,SSH2DOS,"SSH client for SSH protocol v. 2.0. Also contains SCP, SFTP and telnet in both 8086 and 386 versions.",,ssh protocol network communication remote access,,DOS (OpenWatcom 1.x),"GNU General Public License, Version 2",c0c9564e0c61d10738afa20ea6ce579ea18a92c03e4bf794267c0ad0f8cac0c8
sshdos,SSHDOS,"SSH client for DOS. Also contains SSH, SCP and SFTP in both 8086 and 386 versions.",,ssh protocol network communication remote access,,"DOS (Borland C 3.1, DJGPP 2.03)","GNU General Public License, Version 2",fe1511ab84c2f13c98ff1ecf11ba4897326411dcb756cabb4bc9bb9df9515545
stamp,stamp,"Set, view, and filter the time stamps of files",,freedos,,"DOS, FreeDOS","GNU General Public License, Version 2",481759552404737373205f7302d503fe882f7ac644970ca53e8bcf1708c4314f
start,Start,Starts a FreeDOS program.,,"start, launch",,"DOS, FreeDOS","Express Software Public License, Version 1",f46e768cd98a127f9adc910e1f708d0c7431d3065bad29b0c3801c6e2c7de421
sudoku86,sudoku86,a 16-bit Sudoku game for DOS and 8086/8088 CPUs,,"sudoku,games",,DOS,Simplified (2-Clause) BSD License,9f49419f88c016e79caa1353b75c9821fa18d1d3f7cced4db4d2f28d9773d50e
suppls,SUPPL (lib),"an entire library of useful functions, including:","an entire library of useful functions, including:|- syslog subsystem|- INI file random access subsystem:- secure string functions|- command line parser|- NLS information provider|Full description at:|http://www2.inf.fh-rhein-sieg.de/~skaise2a/ska/sources.html#suppl|*The pre-releases are currently compiled with Borland C v5.2 only.","c, programming, library, supplemental",,DOS,"GNU General Public License, Version 2",d2156cb8946406d97741240633e353bd322ed634e5defdde8f78f537a0f2f1b5
switchar,switchar,Display and set the DOS switchar,,freedos,,"DOS, FreeDOS","GNU General Public License, Version 2",6ab1f6931a15f7d8acf1769f5b5a58610938e37e74c88bf60259c1a238c3c06b
swsubst,swsubst,SUBST and JOIN,,"freedos, subst, join",,dos,"GNU General Public License, Version 2",8c66aed05f79e062fa033967f4ffd2676e7f208ce71163fa358eff604026b265
syslnx,Syslinux,Syslinux bootloader collection,,eltorito syslinux memdisk isolinux module chain,,,"GNU General Public License, Version 2",773da2dc1a4118e7d9b6484bf6433c37cc59bcb4389c67b760093b9b6d87b3d8
tail,tail,View the last part of a file. Like UNIX 'Tail'.,,"tail, unix, file",,"DOS, FreeDOS",Open Source,05c7391e0f27e9578bc4a50b0d67bb941e245f9231fdafb1d17daf7120006fea
tar,TAR (GNU TAR),A tape archiver,,"archiver, tape",,"DOS, FreeDOS","GNU General Public License, Version 2",ae94b8e5f3c9f9c7915ccac09d86bb0ab5647b7123400f4dff5e022493e8aa37
tde,TDE (Thomson-Davis Editor),"TDE is a simple, public domain, multi-file/multi-window binary and text file editor written for IBM PCs and close compatibles running DOS, Win32 (console)",,"edit, editor, text",,"DOS, FreeDOS, Win32 (console) Linux",Public Domain,871634407311d5d265d8fc08515d814b2141f7c3c43b52f921d116d2719e634c
tee,TEE,"Saves a copy of its input to a file, while printing a copy to stdout",,"tee, unix",,"DOS (OpenWatcom C), FreeDOS","GNU General Public License, Version 2",7a2d08ee0181c9d5f624827ee3d65bcc20d35f1ee29c76b958a406418bc3006c
teo,Teo,An emulator of the Thomson TO8 microcomputer.,,"Thomson, emulation",,DOS,"Free with restrictions, see license",15e8c5abe79d05f388edc35100cf9d9814f4c2bccf9a3754bccadda826f09aab
terminal,terminal,a tiny vt100/ansi terminal for every pc,,"terminal, rs-232, vt100",,DOS (nasm),"GNU General Public License, Version 2",f8c526fdb5c9cdc79c6eb28be24e13b2cbe2fbbc647542e1dfd2fb9f13e6b626
testdisk,Testdisk (and Photorec),Testdisk checks partition/bootsector of disks; Photorec recovers many types of data,,"testdisk, photorec, data, recover, test",,DOS,"GNU General Public License, Version 2",bf6177564c04f76e8445de5e6f1bf5d4d4b5f960dbb3697a383f4a2f6afdae68
tetris2k,SmallTetrris,DOS Tetris 2KB Size,,"Tetris, Games",,"DOS, TASM 3.0",Free w/Sources,f203b81ab4e6fa1e79f12b132c9af30ed560a42f3b0cad0213284e536b82cfdc
tinyasm,TinyASM,"Tinyasm is a small assembler for 8086/8088 programs, and it can work over a real PC XT machine. It requires at least 128K of memory.",,"assembler, asm",,DOS,Simplified (2-Clause) BSD License,15e13ac99560e593a02f90980320f6d91dd1b87b779cfadc0099309f057ac490
topspin,topspin,A menu interpreter program which will allow users to create 'integrated' environments where none exist.,,"menu, system, utility",,"DOS, FreeDOS","GNU General Public License, Version 2",ca8fe10b6ed42b846bf0baf795eb064c42cfbf4cb52cf7e7a822bc050b3ffa7a
touch,TOUCH,Set the date + time stamp on a file like *nix 'touch',,"touch, time stamp, unix",,"DOS (2.0, 8086), FreeDOS","GNU General Public License, Version 2",561b19bd10226478e20af43c4d45d22862031c6054d951348c94bc32e69ab7c0
tpasm,TPASM,"TPASM is 'a Unix based cross assembler for 6805, 6809, 68HC11, 6502, Sunplus, 8051, Z80, PIC, AVR, and c166.'","TPASM is 'a Unix based cross assembler for 6805, 6809, 68HC11, 6502, Sunplus, 8051, Z80, PIC, AVR, and c166.' Thanks to dec_hl for making a version for FreeDOS (compiling the binaries uses DJGPP, gcc version 8.2.0; see Makefile.dj2). This is otherwise a copy of the official TPASM sources from Todd Squires; Todd still maintains TPASM, so dec_hl asks that you please contact Todd for any issues regarding assembly errors or improvements.","mpasm, asm, assembler, assembly",,DOS,"GNU General Public License, Version 2",b36f482276aefc8a465b56e7489fe892ccb55f8b7f1efa92ba728fc81d0ee547
tppatch,TPPATCH,Patching tool for RUNTIME 200 bug in programs compiled with Turbo Pascal.,,"runtime, tp",,DOS,"Free, no sources",59d9709d6cf7569f8e429fab43b8a9abbdb9b1d43798279933a01f1ec769e8bb
trch,trch,"Translates characters. This used to be the UNIX2DOS program, but translating characters can do more for you. [Similar to, but not the same as, UNIX 'tr'.] (includes Cats GNU LGPL)",,"trch, unix2dos, tr",,"DOS (Borland C), FreeDOS","GNU General Public License, Version 2",e1f7e3f0aeb4876601bc8d44533d59fa5879435c6588b57af3578e61dd384dd9
tree,Tree,Graphically displays the folder structure of a drive or path.,"Graphically displays the folder structure of a drive or path. Support for message catalogs (different languages) using cats, and can be compiled for both Windows NT/9x and DOS.","tree, FreeDOS, DOS, Win32",,"DOS (TC2, TC++1, TC30, BC31, BC45, MicroC v3*, Pacific C*, Digital Mars), Win32 (VC5*, BC45, BCC55, Digital Mars) * MicroC and Pacific C do not support Cats, VC5 requires minor Cats change.","GNU General Public License, Version 2 (using public domain findfile by Jeremy Davis and optional use of LGPL catgets by Jim Hall)",5340eb254a515ce18d9e1f5456181a4cb1d05fef7384e8074da3a7b18c6ae9ab
ttf2fnt1,GNU ttf2fnt,TTF2FNT lets you convert .TTF files into DOS bitmap fonts. (N.B. This is a Win32 GUI .EXE.),,gpl ttf2fnt win32 dos freedos ttf font vga bitmap,,"Win32, Delphi 3","GNU General Public License, Version 2",57ded615eb8d129f4111e9433edcdb13b089ab7a4ca7a7884b94bd69713e8bd6
udvd2,UDVD2,CD/DVD UltraDMA device driver,,"cd, disk, dma, driver, dvd, ultra",,DOS,Free w/sources,c4c3fc9f78e61edb68ed78d3c4d1573bf372660db22a16a6a7c51f17c84bff23
uhdd,UHDD,UHDD is a disk-only caching driver for up to 22 BIOS disks on up to 9 'Legacy' and Native-PCI SATA/IDE controllers.,,"cache, disk, driver, ide, sata",,DOS,Free w/sources,0477c31bbcd7e45b60fb7faeeee6022866f69f4aa6c97e44901556a30541ad41
uhex,uHex,uHex is a simple and fast hex editor,,"hex,editor,viewer",,DOS,Simplified (2-clause) BSD License,95222c77e3a2ce42f334e7b4600d22338d7a8bef007d8388fe7cfb50d2624b28
uide,UIDE,"A general-purpose caching driver for DOS drives, Floppy, CD/DVD, SATA and UltraDMA disks",,"ahci, cache, cc, cd, cd-rom, cdrom, disk, dma, driver, eide, floppy, ide, pata, rom, sata, sata, uhdd, uide, ultra",,DOS,Free w/sources,829ba21202d6a7e1e84856460df45556e8c24c23cb0c9bc316a4d4c8973a4972
umm,UMM,"UMB enabler, registers hardware UMB memory as available, req. 286+",,"UMB, memory",,dos,"GNU General Public License, Version 2",0ec865e6f324fcbe05eb6e2d88154b515fc86d61f2c1a803cafdc0b018be9213
undelete,Undelete,Undelete allows to undelete erased (but recoverable) files from a FAT16/FAT32 filesystem.,,"undelete, unerase, recovery",,"DOS, FreeDOS","GNU General Public License, Version 2",cba43070ba350c74abea6514e3f458089587619c23f54aea0ea4db008ba89250
unformat,UNFORMAT,Unformat a disk that you accidentally formatted.,,"format, unformat, harddrive,",,"DOS, FreeDOS",GNU General Public License,9a1bda1bfdc4275ba4626bc722d618ad10546cb401d2b17b3bbcd84f7583bd8f
unrar,UnRAR,Unrar is a file decompressor with high compression ratio.,,"Unrar, rar, decompressor, archive",,DOS,"Freeware, see license.txt",82ef420b61700e1720aa3d678c87cd53435de5aeb0a2b47b204569f617530333
unrtf,UnRTF,"converts document in RTF format to other formats (html,latex,txt...)",,rtf,,DOS,"GNU General Public License, Version 3",9acf04bec7fdf2fdf37f3e6fb47a529a2623fa5ed95bc03f55d5f50698b4b349
unzip,UnZip,"A file decompression tool, like PKUNZIP.",,"freedos, unzip, infozip, pkunzip",,"dos, unix, mac","Open Source, see license",df596859064ab56ac2afa1b0fc071e37045855a43c101903064478a853769c3e
uptime,uptime,"Reports uptime, even inside DOSEmu. Similar to UNIX 'uptime'.",,uptime,,"DOS, FreeDOS",Source Code Available (open),5305cd8af20da8e0bd89f5fa9e434bd153393c26a781e539c05d1c438564bddb
uptimec,Uptime (Chamorro),"Reports uptime, even inside DOSEmu. Similar to UNIX 'uptime'.","UPTIME is a 16 bit DOS utility that displays the system uptime by automatically detecting when it was first booted. It replicates *NIX uptime, one of the basic UNIX commands which allows you to quickly confirm how long your system has been up and running since it was last rebooted or powered on.",uptime,,"DOS, FreeDOS","GNU Lesser General Public License, Version 3",417567b532bf2beceff6c643902f34d0dab8359d5a53630ea88bfc4d8aa65e83
upx,UPX,"UPX is a free, portable, extendable, high-performance executable packer for several different executable formats.",,executable packer,,DOS,"GNU General Public License, Version 2",a118be8e752e400e3d7920b9e7a279a2a0c8b9688375d06da3267e843c5a22fc
urthwurm,UrthWurm,guide a worm through 10 levels of caves (SFCave remake),,"SFCave,urthwurm",,DOS,Free w/Sources,271a398f5db429ac4fedd5b11a2b0dd06b44acae6524bcd74a39504545ffa2ec
usbdos,USBDOS,"Collection of DOS drivers, for UHCI (USB 1.1 12Mbit/1.5mbit)",,DOS USB driver keyboard mouse port uhci ohci ehci xhci,,DOS,"Freeware, see documentation",f130000f58fa516e0ded355010a352a58700d1e497e5600de8ba8a2121744547
use_umbs,USE!UMBS,UMB memory provider (enabler),,umb,,dos,Public Domain,1805a0713ecc906a0442e7061a381e0c7c9059d06fce515de1b3549441721b63
utf8tocp,utf8tocp,converts UTF-8 text files to other codepages and back,,"codepage,converter",,DOS,Simplified (2-Clause) BSD License,a7c0a771c9d6ee35facd7585e7bc84be28f20e1d0c0a190d86b9e9a788c02bce
v8power,V8Power Tools,a set of batch file enhancement utilities for DOS that can provide text UI and other processing functions (UPX'd),,dos 16 bit batch vask vchoice vecho vpause vframe vmath vline vprogres,,DOS,"GNU General Public License, Version 2",30025ae51f161f98945246c4fbb48c98cef7aba9466fd00aa850aad595e8de57
vertigo,Vertigo,A flight simulator that focuses on realism of the flight model.,,,,"DOS, GNU/Linux, BeOS","GNU General Public License, Version 2",8a2037bdfc85506d29fc4ad1af2eb2ff23fa13b3fe3733522e120796518f0272
vgapal,VGAPAL,VGA Text Mode Color Palette Utility,,dos 16 bit,,DOS,MIT License,0f497e24fa325947797e6220a259add313fcd35f3329328a29fc3888f036bb25
vice,VICE,"Versatile Commodore 8-bit Emulator, emulates C64, C128, VIC20, PET, PLUS4 and CBM-II.",,"commodore, emulator, emulation",,DOS,"GNU General Public License, Version 2",33f57ab7be20da0151fef9adcb1ab88c633fec11c0e6af1e0c47b4279da87e1a
vim,Vi IMproved (vim),improved version of the editor 'vi',"VIM is an improved version of the editor 'vi', one of the standard text editors on UNIX systems. These are the runtime files for VIM. [GPL-compatible, but asks that if you find it useful you make a donation to help children in Uganda through the ICCF. The full license text can be found in README.txt.] DOS 32-bit only (since 7.1).","editor, vi, vim",,"*nix, Windows, Macintosh, DOS, others",Source code available (open),a59822eb1737abcce46f26ea190f842e695eac79b157166de5c2f43fcc588c96
vitetris,Vitetris,A terminal-based Tetris clone.,,,,"DOS, GNU/Linux, Windows",Simplified (2-Clause) BSD License,b0d9f7d0f5b3537f76c23deceeb54c4011a94a2ceb4dfec6dfed58e763eed95f
vmsmount,VMSMOUNT,A DOS redirector for mounting VMware's shared folders,,vmware,,DOS,"GNU General Public License, Version 2",7aac003ed1e567b2b53d98bf279d6202659fba7ccc83c5d0a5e03e8ef17340dc
vncview,VNC Viewer 8086,"VNC viewer for 8086+, based on Xvncviewer",,"VNC, 8086",,DOS,"GNU General Public License, Version 2",acddc1b95f46809c678d6896e45a68fd3e5af20e842757654824dc6745ccec2a
wattcp,WATTCP,WATTCP,,"freedos, curl",,FreeDOS,Open source,2835c3f43ba98ec07e888509f7b7101632f172e293795717985496a4b490c143
wcd,wcd,"Wherever Change Directory (WCD) 16-bit version for DOS, a Norton Change Directory (NCD) clone with more features.",,"chdir, cd, change directory, fast",,"DOS, Windows, Unix","GNU General Public License, Version 2",9c98f05d096550d4a96fc8ace492fae1fc746f0dace500a2a24782248f16bed8
wde,WDE,Wde is a disk editor.,,"Wde, disk, editor",,DOS,"GNU General Public License, Version 2",74806f45fc9c9676931fe9e91bc60ce3f9e166cd9a4633fdac065866205d0b2a
welcome,Welcome to FreeDOS,The 'Welcome to FreeDOS' message that is displayed at system start up.,,welcome boot message autoexec config,,DOS,"GNU General Public License, Version 2",c59936bfeef2e38897e60621b00aca2f0e9bdca336229b73a9bed87d2b9dcbdc
wget,Wget,The non-interactive network downloader.,,"freedos, wget",,FreeDOS,"GNU General Public License, Version 3",e887e3b260b8c0687e3ea38032b99db452e0fa0b4bfdd2bfe8383adf1a6d1432
which,which,"which is a utility born in the UNIX world that enables users to find executable files in directories listed in the PATH environment variable. Full wildcard support, relative pathnames, optional file details (size, date). User-definable program extensions, codepage-correct time/date formatting. New DOS switchar support.",,"DOS, extension, file, utility, find, locate, PATH",,"DOS, Compiler: Borland Turbo Pascal 7.0","GNU General Public License, Version 2",89aca54bade22c1d3427095ea83c5636354eb3c257671b9123b894147cb0f5fd
whichfat,WhichFAT,FAT32 kernel support detection and per-drive FAT (12-32) type detection,,"freedos, fat, disk",,,Public Domain,087183770f61ae13b2ea1371a30e5833e45d1b6d6e51992bbda7bab35e059648
wing,Wing,A galaga-like space shooter.,,galaga,,DOS,"GNU General Public License, Version 2",609e92befeecfaea2fc8c8e94b5e93de3fdda482326b8c6748af0ba6b59808e8
wptail,Whiptail,Create TUI dialog boxes and forms and collect user input using libnewt,,"dialog, whiptail, newt, gpm",,"Unix, DOS","GNU Library General Public License, Version 2",23d258f5db3050f5931f5fe9a3ef1d218eed179bf452ecdfb0952c2dc4a9860b
ww1,Word Whiz Volume 1,A text based trivia game.,,,,DOS,"GNU General Public License, Version 2",49d39e168dcedc5c88802efa4a53643bfee9364cffdf8618607963e479aa8991
xargon,Xargon,side-scrolling platform game similar to Jill of the Jungle,,,,DOS,Kiloblaster and Xargon Freeware License,5886e0659ef97dcd7767c587e9798a9d8df6c77629b5776cbeb30fd24aa69855
xcdrom,XCDROM,UDMA and non-UDMA CD-ROM driver for DOS,,"Ultra DMA, DOS, CD-ROM, CDROM, XCDROM",,DOS (NASM),Free no sources,c79a9e140898fa445b8f70ea8008793bec763dc7d0e65e1e8c4f60a921d204fb
xcopy,XCopy,Copies files and directory trees.,,"freedos, copy, xcopy, kitten",,DOS,"GNU General Public License, Version 2",3086d7da09c75bc1c0ff69576b890f345d48ad76be518b4a43e0e401e2e37015
xdel,xDel,"Extended file delete, DR-DOS like",,"xdel, del, deltree, delete",,DOS,"GNU General Public License, Version 2",38b439066c60ca018f447c7cfd2ff2adb8f2a9b048610e680e343365843e397d
xdma,XDMA,UDMA driver for DOS: up to 4 unlimited size hard drives,,"Ultra DMA,Ultra ATA,Bus Master,IDE,ATA,VDS,DMA,CHS,EDD,LBA,XMS",,DOS (NASM),Free without source,2811d5a1a57fcbcd9eb773fc3be3ac5438703a427621353bd1b642ced0299228
xfdisk,Xfdisk,Xfdisk is a fdisk like software that is used to partition disks.,,"Xfdisk, fdisk, partition, hard disk, hdd",,DOS,"GNU General Public License, Version 2",5c08dffb8777206e911332d2e55c8559c5811d1d6d0ed83b63d2e5c825635514
xgrep,XGREP,Fast UNIX-like `grep' clone supporting regular expressions,,"freedos, files, find, grep, search, text, unix-like",,"DOS (Arrowsoft Assembler, WarpLink)",Zero Clause BSD License,34a718f4d3bc1f69debc772f8d77cc88e828ec3e21672d88aeb985076bd6e950
xkeyb,xkeyb,Keyboard driver for international support. Also includes KEYMAN + KLIB + LISTXDEF + SCANKBD,,"keyb, keyboard, driver",,"DOS, FreeDOS","GNU General Public License, Version 2",8f2a6c998ea7a80a2ae73a632202f4de6f651987c0c55eee5f5a0efe97e0a24b
xmgr,XMGR,XMGR is an XMS manager which handles up to 4-GB of RAM and supports V3.70+ UMBPCI,,"driver, manager, ram, umb, xms",,"DOS, MASM 5.1",Free w/sources,306abe1d5102d017500da6a8b2b358d67eec085f58631c5a693134045823b1c2
yapcbr,Yet Another PC Bridge,layer 2 bridge for packet drivers (turns a PC into a switch),"This bridge belongs to the class of Self Learning Transparent bridges. You can use any Ethernet cards (or a mix of cards from different vendors) for this bridge. All you need to have is the appropriate packet drivers for these cards. Packet drivers for most of the ethernet cards are in public domain and can be obtained from crynwr.com. This bridge can be set up using a PC or AT (hard disk is not necessary, a floppy drive is sufficient) running MSDOS ver 3.0 or higher. This is not a spanning tree bridge and hence cannot detect loops in network paths.",bridge,,dos,"GNU General Public License, Version 1",cbe11727c3edc9251dccb52e09dd170f5a8d3079d93ce5f94d1fe7a2e2dfc005
yasm,Yasm,Yasm is a complete rewrite of the NASM assembler. (UPX Compressed),"Yasm is a complete rewrite of the NASM assembler under the 'new' BSD License (some portions are under other licenses, see COPYING for details). Yasm currently supports the x86 and AMD64 instruction sets, accepts NASM and GAS assembler syntaxes, outputs binary, ELF32, ELF64, 32 and 64-bit Mach-O, RDOFF2, COFF, Win32, and Win64 object formats, and generates source debugging information in STABS, DWARF 2, and CodeView 8 formats. Yasm can be easily integrated into Visual Studio 2005/2008 and 2010 for assembly of NASM or GAS syntax code into Win32 or Win64 object files.","nasm, asm, gas, yasm, assembler, assembly, DJGPP, Visual Studio",,DOS,Simplified (2-Clause) BSD License and Revised (3-Clause) BSD License,510c01309a343457648600b590081e0d553796c3b24d003c7b7f512ff101cc6e
z26,z26,An Atari 2600 Emulator,,"atari, emulation",,DOS,"GNU General Public License, Version 2",e03b63eaca89dc4f5e9dc5304b13081d4cbb76d2b3f089154337165a6e628b0a
zboy,zBoy,GameBoy classic emulator,,"gameboy, emulator",,DOS,"GNU General Public License, Version 3",65e1c3739d61f75321807dc1a9028ce4e32e6c03baf938d4e1d65aca2f332e7c
zdir,ZDir,ZanySoft Directory Lister,"ZDir is a tiny DOS directory lister that I started years ago when I was in high school. Compared to the dozens of other directory listers of the day, it was the best-- ZDir automatically determined how many columns to display, it could display a full tree, the colors were completely configurable, it worked in any text mode, no matter how non-standard, and it was lightning fast (written in assembly language). ZDir was available as shareware, and was quite popular, though it's not very useful any more because it does not support long filenames.","asm, assembler, assembly, a86, dir",,DOS,"GNU General Public License, v3",4d40f41fa61fa93ccda15bd7fc3739d9e307ff3e98b3ff7672cb00dd355acd82
zerofill,Zerofill,Fills empty space on a drive with zeros.,"Fills empty space on a drive with zeros. It helps virtual machine, and disk compression software to compact the allocated space in the volume, and so on reducing its disk usage.",dos,,DOS,GNU Lesser General Public License,c37b6c95b6164ae3f74d2477c265ae2e3039df932cf71ea90fe3b715529f9d28
zip,zip,"A file archiver tool, like PKZIP.",,"freedos, zip, infozip, pkzip",,"dos, unix, mac","Open Source, see license.",6b5ebe58c6a1f0ea7fb0934f522e663c4db811abcdddd54e870acf20ef3467e3
zmiy,zmiy,A snake game (like Nibbles) for DOS and 8086,,"nibbles, snake",,DOS,Simplified (2-Clause) BSD License,d2ba2cad3f66923ba4c7d8de5efc270397c031df1d8ffa4066400291aa516828
zoo,zoo,Manipulate zoo archives.,,zoo,,,Public Domain,bdf512c66de534655873b361abda223b15ac505df7fd0a88dfd8552cd2026e33
zsnes,Zsnes,A Super Nintendo emulator.,,,,"DOS, GNU/Linux, Windows","GNU General Public License, Version 2",addf3f5302c90db54a84f0dde44d9a9c241ba38609778c27558df8a88db942b0
