id,new,title,description,summary,keywords,platforms,copying-policy,sha
lzip,,Lzip,Ein Daten-Packer der nach dem LZMA Algorithmus arbeitet.,,"command.com, shell, interactive",DOS,"GNU General Public License, Version 3",224a43494e7adb6ec8a2074037da0e4e37c121a219987272440530d8e1adfecf
lzma,,LZMA Utils,Arbeitet mit LZMA-komprimierten Dateien (anders als 7z).,,lzma,"DOS/DJGPP, Unix, Windows","GNU General Public License, Version 2",f12f446dfdb2b8d3d9cd093b8494bfce86f98f59abccdd9b6105324256ce6924
lzop,,lzop,"Ein Komprimierungstool Ñhnlich gzip, welches Geschwindigkeit Åber KomprimierungsverhÑltnis stellt.",,"lzop, compression, Komprimierung, Packer",DOS,"GNU General Public License, Version 2",6fead55a0b3757acbc05e333384d3aad2c5021fddfe9fdb3b92870f097fc17bb
m2wat,,M2WAT,Ein Utility zum Transferieren der Einstellungen einer MTCP.CFG in eine WATTCP.CFG.,,"mTCP, WATTCP, DHCP","DOS (Borland C 3.1, DJGPP 2.03)","GNU General Public License, Version 2 or later",3fda148cbee75641f6be47b00f8f6538a4598a3de4cbf002d813e3e768a903d6
magnetic,,Magnetic,Ein Interpreter fÅr Magnetic Scrolls Adventures.,,interpreter,"DOS, Amiga, MacOS X, Java, Maemo5, OpenPandora, Windows, GNU/Linux","GNU General Public License, Version 2",e4b38cf19ee4333b398f38d179ab5d504090dec0665e2c58015e1fd124c523ec
marauder,,Marauder,Weltraumshooter-Spiel.,,"space, games, Spiele",DOS,Free w/sources,5f605852225b84209202eefa1e70de6fcf2626caf294a9859de0ea649f9f6e96
mbedit,,mbedit - Multi platform editor,"Mbedit ist ein Full-Screen-Editor mit Macros, Taschenrechner, Kommandohistorie, Hex Editor und vielen weiteren Features.",,"editor,hex, Hexeditor",DOS,"GNU General Public License, Version 2",cc164787592854a327fb961b004936f3136c815fb509dc800a3eb9b33060cbc5
mbldr,,Master Boot LoaDeR,Alternativer MBR Bootloader der in einen einzigen Sektor passt.,,MBR,DOS,Modified (2-Clause) BSD License,ec1f3ddf2bfc802a1f75bcc4f9f1a8f1e1c9578b4b38d502046b97326a7370f2
md5sum,,MD5SUM,MD5-Checksummen erstellen.,,"md5, md5sum, checksum, checksummer, cryptographic, sha, crc, Kryptographie, Checksumme","DOS, OpenWatcom 1.3, Pacific C 7.51, Turbo C 2.01, Turbo C++ 1.01","GNU General Public License, Version 2",feace16efbd88f851ee500a68608793d334188907796c9f27e24dfe0e326fa84
meka,,MEKA,MEKA ist ein Emulator fÅr diverse Maschinen.,,"meka, emulation, emulator",DOS,"BSD-like License, see website",c024100e2b7eac07cdcb5d50e5f914dda21f59c388a3c5e9719cc60986e353e2
mem,,MEM,Zeigt Information Åber genutzten und freien Arbeitsspeicher an.,,"Memory, mem, xms, ems, umb, hma",FreeDOS,"GNU General Public License, Version 2",da3dfd89f951c8c1421697285f9423a118d4077945ac479a0e3ed6e44cf46022
memmap,,Memory Map,Programm zum Anzeigen der Speicherkarte.,"Map ist ein Programm zum Anzeigen der Speicherkarte. Es kann nur Programme und GerÑtetreiber oder die vollstÑndige Liste der Speichersteuerblîcke auflisten. Es kann auch GerÑtetreiber, Interrupt-Vektoren und den hohen Speicherbereich (HMA) auflisten. Es basiert auf Map 2.0 von Peter Sulyok. Es erfordert DOS 5+ und 386+.",dos 16 bit edit command,DOS,Free w/sources,bc8097ae944f749e113a4591c9bc90850ca5fbbeb4306ba5426e9c22774056f4
memteste,,MEMTESTE,"MEMTESTE ist ein Programm zum Testen von DRAM (Hauptspeicher) von PC-kompatiblen Computern, die auf einem Intel 386-Prozessor oder hîher basieren.",,"RAM test, memtest, Speichertest",DOS,Freeware,d218a96f42b6ae0cd7be2988806cffec7dfe1ae67485668dc95d3e63465d5190
metakern,*,MetaKern,"Allows to install several DOS / Windows kernels on a single disk or partition: Loaded by the FreeDOS boot sector, MetaKern lets the user select a kernel at boot time. Read the manual before use!",,"dual boot, boot menu, freedos, dos, windows","DOS, Windows (FAT filesystem versions only)",GPL 2,a86e655f4cb337dde91d24b7e6a0dd211335f42ddd719970e7b8fdbc633f5f47
microweb,,MicroWeb,Ein DOS-Webbrowser fÅr Rechner der 8088-Klasse.,Ein DOS-Webbrowser fÅr Rechner der 8088-Klasse.,"network, www, browser, internet",DOS,"GNU General Public License, Version 2 or Later",b65fa41162800c4722d97200699a68858a8419d79bde4bd5a4bf2e85d9fe8f5f
midiplay,*,MidiPlay,play a MIDI file through a PC's internal speaker.,,"midi, music, speaker",DOS,freeware w/source,00449b2c030716df42884d1fa96b6ca9bd05af96f360e7fdf2741e393bca7441
mined,,MinEd,"Texteditor mit Unicode und CJK Support. Nette Features zum Editieren von reinen Text Dateien, Programmen, HTML usw. Benutzerfreundliche OberflÑche, Maus und MenÅs.","Mined ist ein umfangreicher Text Editor. Mined bietet Unicode und CJK UnterstÅtzung und viele Feature fÅr Special-Cases, von denen andere Editoren noch nie gehîrt haben. Beispielsweise Auto-Erkennung, Handling verschiedener Terminals und Han-Support. Er war der erste Editor, der Unicode in einem Nur-Text-Terminal unterstÅtzt hatte (z.B. Xterm oder rxvt).","edit, editor, unicode, codepage, encoding","DOS, Win32 (Cygwin), *nix","GNU General Public License, Version 3",2d541c379d19842273c841addb2e958ae1b42364dad377f05ceb3cc42400071b
mines,,MiNES,MiNES ist ein Editor fÅr iNES ROMS.,,"iNES, editor",DOS,"GNU General Public License, Version 3",a7c58e470c75b737640dabde7fe4b20f23173110af9deed2da8c2ad837cb1d07
minibox,,Minibox,Kleine Linux-Befehle fÅr ressourcenbegrenzte Systeme.,,"linux, unix, beep, cat, cd, clear, cp, date, echo, help, ls mkdir, mv, pwd, rmdir, sh, time",DOS,"GNU General Public License, Version 2 and 3",2d039bd3779c11fdd08dab61d35ea003eca9b394e3d50a9671119fabd1b78a02
mirmagic,,Mirror Magic,Ein Arcadespiel im Stil von Deflektor (C64) oder Mindbender (Amiga).,,"Arcade, games, Spiele","DOS, GNU/Linux, Windows","GNU General Public License, Version 2",e19673a42f87e1b9c1aa69784535f08db9f3142e9457fb0e5f372d71c48f36cf
mirror,,Mirror,Speichert Information eines DatentrÑger fÅr eine eventuelle Datenrettung.,,freedos,DOS,"GNU General Public License, Version 2",9fd2131758a119ddd374687babc96d5434f0a1d999599d41922c56a57334078f
mistral,,The Mistral Report: Invisible Affairs,Ein rundenbasiertes Retro-RPG (Rollenspiel) zum Thema Spionage fÅr deine klassische Maschine.,"The Mistral Report: Invisible Affairs ist ein rundenbasiertes Retro-RPG zum Thema Spionage fÅr deine klassische Maschine. Erfordert 386SX oder besser. Zu den Soundoptionen gehîren Adlib, PCSpeaker und OPL2LPT.","games, Spiele, rpg",DOS,"GNU General Public License, Version 3",413e6bbd6d97e8f80623983f0d8777788985acfe7d15f35b9c64acf513282111
