id,new,title,description,summary,keywords,platforms,copying-policy,sha
srdisk,,"SRDISK (resizeable RAM disk)","Grî·enverÑnderbare RAMdisk.","Grî·enverÑnderbare RAMdisk. SRDISK ist schnell und kann mit mehr als 32MB XMS und EMS Speicher umgehen. Die Grî·e kann ohne Neustart oder Datenverlust geÑndert werden. Diskcopy kompatibel.","extension, utility, ramdisk","DOS, FreeDOS","GNU General Public License, Version 2",2b2abf288ff6038a8941e4f3ff454c138d4a9b6fba057a853b2d9a0b858cca54
ssh2dos,,SSH2DOS,"SSH Client fÅr das SSH Protokoll v. 2.0.","SSH Client fÅr das SSH Protokoll v. 2.0. EnthÑlt au·erdem SCP, SFTP und telnet in 8086 und 80386 Versionen.","ssh protocol network communication remote access, Netzwerkkommunikation, Fernzugriff","DOS (OpenWatcom 1.x)","GNU General Public License, Version 2",3227e40de55096e230d326c353fd6d408299da03d05d543654f003bd2da09c83
sshdos,,SSHDOS,"SSH Client fÅr DOS. ","SSH Client fÅr DOS. EnthÑlt au·erdem SSH, SCP und SFTP in 8086 und 80386 Versionen.","ssh protocol network communication remote access, Netzwerkkommunikation, Fernzugriff","DOS (Borland C 3.1, DJGPP 2.03)","GNU General Public License, Version 2",459e6b2576d69aede1c631d2b29aef58b4db5dfe275564d2e4662ba29fbc5d8c
stamp,,stamp,"Setzen/Lesen/Filtern von Dateizeitstempeln.","Setzen/Lesen/Filtern von Dateizeitstempeln.","FreeDOS, file, Datei, timestamp, Zeitstempel","DOS, FreeDOS","GNU General Public License, Version 2",ec61f8d4411c85cd42b9daa429dfb9adf2629e73e354b0581fba82759b2d3901
start,,Start,"Startet ein FreeDOS Programm.","Startet ein FreeDOS Programm.","start, launch","DOS, FreeDOS","Express Software Public License, Version 1",f897c3e6896ec3ecad3e4a6788f4de30f2587165fe7c1ccf41c89fa376944c9c
sudoku86,,sudoku86,"Sudoku Spiel fÅr DOS auf 8086/8088 CPUs.","Ein 16bit Sudoku Spiel fÅr DOS auf 8086/8088 CPUs.","Sudoku, games, Spiele",DOS,"Simplified (2-Clause) BSD License",d785b983ea2a051dee75dd5e2a2386945148fc31c162753fab8ebfcd096afd39
suppls,,"SUPPL (lib)","Grosse Bibliothek mit nÅtzlichen Funktionen.","Eine ganze Bibliothek nÅtzlicher Funktionen, darunter:| * Syslog-Subsystem * INI-Datei-Direktzugriffs-Subsystem:| * sichere String-Funktionen * Befehlszeilen-Parser| * NLS-Informationsanbieter| * VollstÑndige Beschreibung unter:| * http://www2.inf.fh -rhein-sieg.de/~skaise2a/ska/sources.html#suppl| * Die Vorabversionen werden derzeit nur mit Borland C v5.2 kompiliert.","Bibliothek c, programming, library, supplemental, Programmierung",DOS,"GNU General Public License, Version 2",6dc08dee23d5670cc9410a55695744b3f133367a45ea2a76ea26d83d90c8f1d3
svarcom,*,SvarCOM,"Der SvarDOS-Befehlszeileninterpreter.","SvarCOM ist der SvarDOS-Befehlszeileninterpreter. Es ist ein Programm in der Entwicklung. Obwohl es funktionsfÑhig ist, ist es weder vollstÑndig ausgefeilt noch vollstÑndig und wird als ""Vorschau""-Version betrachtet.","command, shell, freecom",DOS,"MIT License",ddebcd6bef9209e480bf79855a1427026442b325e6afac9fca801c62d52a069e
switchar,,switchar,"Anzeigen und Einstellen des DOS Switchar.","Anzeigen und Einstellen des DOS Switchar.",FreeDOS,"DOS, FreeDOS","GNU General Public License, Version 2",65a765d320ad9e7971bc98457973f1a0fe3d9ac71f865cf1efcb6818e74faada
swsubst,,swsubst,"SUBST und JOIN.","SUBST und JOIN.","FreeDOS, subst, join",DOS,"GNU General Public License, Version 2",6630f3f9dac07407f055b473ea0b8a77e4fc2a54c9185e1fe774d7e8162dd242
syslnx,,Syslinux,"Die Syslinux Bootloader Sammlung.","Die Syslinux Bootloader Sammlung.","eltorito, syslinux, memdisk, isolinux, module chain",FreeDOS,"GNU General Public License, Version 2",1134d9ac24a9f2493ba1942c16ed83ef3f3ac0d46ddfc9983eae8bf1c40ce65e
tail,,tail,"Zeigt hinteren Teil einer Datei an, Ñhnlich UNIX 'tail'.","Zeigt den hinteren Teil einer Datei an. éhnlich wie UNIX 'tail'.","tail, Unix, file, Datei","DOS, FreeDOS","Open Source",34767ee1deb7e9eb819428ec3b6e7d3adad3d78bc89f3fbe77fd4f15baa73ca9
tar,,"TAR (GNU TAR)","Ein Bandarchivierer.","Ein Bandarchivierer.","archiver, tape, Band,","DOS, FreeDOS","GNU General Public License, Version 2",95494ea8f8d7e0c1474b749f5af9b58e80b59097f5d273118cae55c23f2f1bc7
tde,,"TDE (Thomson-Davis Editor)","Einfacher BinÑr-/Textdateieditor.","TDE ist ein einfacher, public-domain Multi-Datei und Multi-Fenster Editor fÅr Text- und BinÑr-Dateien. Entwickelt fÅr IBM PCs und Klone mit DOS und Win32 Konsole.","edit, Editor, Text","DOS, FreeDOS, Win32 (console) Linux","Public Domain",ff136bfd6a5c62237bbaa9424602a8caa7f9a8fbb9c7b2cb920512c7fecb0724
tdsk,*,"tdsk (RAM disk)","Turbodisk RAM Disk Treiber.","Turbodisk RAM Disk Treiber. Erstellt ein RAMdrive (sehr schnelles virtuelles Laufwerk, welches den Arbeitsspeicher nutzt).","freedos, ramdrive","dos (ASM)","public domain",037a82589e765a7ed4fb679eb911673c1784e1d53f0f125bdcca9beaeba376a4
tee,,TEE,"Speichert eine Kopie seines Inputs in einer Datei.","Speichert eine Kopie seines Inputs in einer Datei wÑhrend es eine Kopie nach stdout ausgibt.","tee, unix","DOS (OpenWatcom C), FreeDOS","GNU General Public License, Version 2",6b8d0150a1b569fdc284b727b7fb0426a0bb124d337379ad0235b5674f673b1d
teo,,Teo,"Emulator des Thomson TO8 Microcomputers.","Ein Emulator des Thomson TO8 Microcomputers.","Thomson, Emulation",DOS,"Free with restrictions, see License",15e8c5abe79d05f388edc35100cf9d9814f4c2bccf9a3754bccadda826f09aab
terminal,,terminal,"Ein kleines VT100/ANSI Terminal.","Ein kleines VT100/ANSI Terminal fÅr jeden PC.","terminal, rs-232, vt100","DOS (NASM)","GNU General Public License, Version 2",a52bd5d1bd161f59699cc831ffb7f58211012877066696071b376ff7a7c9a416
testdisk,,"Testdisk (and Photorec)","Checkt Partitionen/Bootsektoren von Disks.","Testdisk checkt Partitionen und Bootsektoren von DatentrÑgern. Photorec ist ein Tool um Daten verschiedenster Art zu retten.","testdisk, photorec, data, recover, test",DOS,"GNU General Public License, Version 2",3dac580be23d23490b6936e5ad6d2a6961b3244e84309d4fde393a6333d107e6
tetris2k,,SmallTetrris,"DOS Tetris, nur 2 KB gro·.","DOS Tetris, nur 2 KB gro·.","Tetris, games, Spiele","DOS, TASM 3.0","Free w/Sources",f203b81ab4e6fa1e79f12b132c9af30ed560a42f3b0cad0213284e536b82cfdc
tinyasm,,TinyASM,"Kleiner Assembler fÅr 8086/8088 Programme.","Tinyasm ist ein kleiner Assembler fÅr 8086/8088-Programme, der auf einem echten PC XT-Rechner arbeiten kann. Er erfordert mindestens 128 KB Arbeitsspeicher.","Assembler, asm",DOS,"Simplified (2-Clause) BSD License",15e13ac99560e593a02f90980320f6d91dd1b87b779cfadc0099309f057ac490
topspin,,topspin,"Ein MenÅ-Interpreter-Programm.","Ein MenÅ-Interpreter-Programm, welches dem Benutzer erlaubt, Umgebungen zu erstellen, wo es keine gibt.","menu, system, utility, MenÅ","DOS, FreeDOS","GNU General Public License, Version 2",09b0efdedbbeb99b85007915c9dfaa8d78b2f914f454a18864c54773d35d8242
touch,,TOUCH,"Setzen von Datum und Uhrzeit einer Datei.","Setzen von Datum und Uhrzeit einer Datei wie beim UNIX-Tool 'touch'.","touch, time stamp, unix, Datum, Zeit","DOS (2.0, 8086), FreeDOS","GNU General Public License, Version 2",d1742e0f5a465d4907812efbe58abdb8f5c36fed17c5ee4e5477855e3585ba25
tp7p5fix,*,"TP7/P5+ fix","TSR zum Beheben des RuntimeError 200 in Programmen","TSR zum Beheben des Runtime Error 200 in Turbo Pascal-Programmen zur Laufzeit, ohne dass ein Patch die ausfÅhrbare Datei patchen mu·.","DOS, games, Spiele",DOS,"GNU LIBRARY GENERAL PUBLIC LICENSE, Version 2",287115e9d5c36ece3ad74553fc62786599d162e3abb6902f8ccfe1ba44b9d926
tpasm,,TPASM,"Cross-Assembler fÅr 6805, 6809 u.v.a.","TPASM ist 'ein Unix-basierter Cross-Assembler fÅr 6805, 6809, 68HC11, 6502, Sunplus, 8051, Z80, PIC, AVR und c166.' Danke an dec_hl fÅr die Erstellung einer FreeDOS-Version (das Kompilieren der BinÑrdateien verwendet DJGPP, gcc Version 8.2.0; siehe Makefile.dj2). Dies ist ansonsten eine Kopie der offiziellen TPASM-Quellen von Todd Squires; Todd unterhÑlt TPASM noch immer, daher bittet dec_hl, dass Sie sich bei Assemblierungsfehlern oder Verbesserungen an Todd wenden.","mpasm, asm, assembler, assembly",DOS,"GNU General Public License, Version 2",b36f482276aefc8a465b56e7489fe892ccb55f8b7f1efa92ba728fc81d0ee547
tppatch,,TPPATCH,"Patchtool fÅr RUNTIME200 Bug in Turbo Pascal.","Patchtool fÅr den RUNTIME200 Bug in Programmen, die mit Turbo Pascal kompiliert wurden.","runtime, tp, Turbo Pascal",DOS,"Free, no sources",1fac9f5f4031e85a1eda138f21784d6f8f9715828e66e80b13e4f868c32f86c6
trch,,trch,"öbersetzt Zeichen","öbersetzt Zeichen. Dies war frÅher das Programm UNIX2DOS, aber das öbersetzen von Zeichen kann mehr. [éhnlich, aber nicht identisch mit UNIX 'tr'.] (enthÑlt Cats GNU LGPL).","trch, unix2dos, tr","DOS (Borland C), FreeDOS","GNU General Public License, Version 2",fd31f11591924492dd9bd07d779801cfd000992c627d5a787bd1a24d89504bc3
tree,,Tree,"Zeigt Ordnerstruktur eines Laufwerks/Pfads grafisch an.","Zeigt die Ordnerstruktur eines Laufwerks oder Pfads grafisch an. UnterstÅtzung fÅr Nachrichtenkataloge (verschiedene Sprachen) mit cats, kann sowohl fÅr Windows NT/9x als auch fÅr DOS kompiliert werden.","tree, FreeDOS, DOS, Win32","DOS (TC2, TC++1, TC30, BC31, BC45, MicroC v3*, Pacific C*, Digital Mars),","GNU General Public License, Version 2",e632d08027ef1fbcfc87787de3ead1be39a761c28801bb8c3b5c5b6860b53f6a
ttf2fnt1,,"GNU ttf2fnt","Konvertiert TTF Dateien in DOS bitmap fonts.","Mit TTF2FNT kînnen Sie .TTF-Dateien in DOS-Bitmap-Schriften konvertieren. (Anmerkung: Dies ist eine Win32 BenutzeroberflÑche).","gpl, ttf2fnt, WIN32, DOS, FreeDOS,ttf font, VGA bitmap","Win32, Delphi 3","GNU General Public License, Version 2",57ded615eb8d129f4111e9433edcdb13b089ab7a4ca7a7884b94bd69713e8bd6
udvd2,,udvd2,"CD/DVD UltraDMA Treiber.","CD/DVD UltraDMA GerÑtetreiber.","CD, DVD, driver, Treiber",DOS,"Free w/sources",f9eefd86a37904569e9a6dc3606a8837ab00cf6f811e222893f018837509367e
uhdd,,UHDD,Festplatten-/SSD-Caching-Treiber.,"UHDD ist ein Festplatten-/SSD-Caching-Treiber fÅr bis zu 10 BIOS-Festplatten auf bis zu 4 UltraDMA-Controllern. Es bietet auch Caching fÅr Festplatten, die von UDVD2 verwaltet werden, wenn es nach UHDD geladen wird.","Cache, Disk, driver, ide, sata, Treiber",DOS,"Free w/sources",0477c31bbcd7e45b60fb7faeeee6022866f69f4aa6c97e44901556a30541ad41
uhex,,uHex,"Einfacher und schneller Hex-Editor.","Uhex ist ein einfacher und schneller Hex-Editor.","hex,Editor,viewer",DOS,"Simplified (2-clause) BSD License",0332ba0b4bf5f1787eeb51610dfb2f783bc05235027f58021c1446d8580a39f5
uide,,UIDE,"Universeller Caching-Treiber fÅr DOS.","Ein universeller Caching-Treiber fÅr DOS-Laufwerke, Disketten, CD/DVD, SATA und UltraDMA-Festplatten.","ahci, cache, cc, cd, cd-rom, cdrom, disk, dma, driver, eide, floppy, ide, pata, rom, sata, sata, uhdd, uide, ultra",DOS,"Free w/sources",829ba21202d6a7e1e84856460df45556e8c24c23cb0c9bc316a4d4c8973a4972
umm,,UMM,"Registriert Hardware-UMB-Speicher als verfÅgbar.","Ermîglicht UMB (upper memory blocks), registriert Hardware-UMB-Speicher als verfÅgbar, erfordert 286+.","UMB, memory",DOS,"GNU General Public License, Version 2",0ec865e6f324fcbe05eb6e2d88154b515fc86d61f2c1a803cafdc0b018be9213
