id,new,title,description,summary,keywords,platforms,copying-policy,sha
smallbas,*,SmallBASIC,SmallBASIC Interpreter,,"freedos, basic",,GNU GPL,
snova,*,Supernova,Text based adventure game set in the future.,,,,"GNU General Public License, Version 2",
steelsky,*,Beneath the Steel Sky,"Abducted by soldiers, wonder a city to discover the truth. (Diskette Version)",,,,Free w/Sources,
tdsk,*,tdsk (RAM disk),RAM disk driver,,freedos,,public domain,
teo,*,Teo,An emulator of the Thomson TO8 microcomputer.,,"Thomson, emulation",,"Free with restrictions, see license",
tetris2k,*,SmallTetrris,DOS Tetris 2KB Size,,"Tetris, Games",,Free w/Sources,
tpasm,*,TPASM,"TPASM is ""a Unix based cross assembler for 6805, 6809, 68HC11, 6502, Sunplus, 8051, Z80, PIC, AVR, and c166.""","TPASM is ""a Unix based cross assembler for 6805, 6809, 68HC11, 6502, Sunplus, 8051, Z80, PIC, AVR, and c166."" Thanks to dec_hl for making a version for FreeDOS (compiling the binaries uses DJGPP, gcc version 8.2.0; see Makefile.dj2). This is otherwise a copy of the official TPASM sources from Todd Squires; Todd still maintains TPASM, so dec_hl asks that you please contact Todd for any issues regarding assembly errors or improvements.","mpasm, asm, assembler, assembly",,"GNU General Public License, Version 2",
tppatch,*,TPPATCH,Patching tool for RUNTIME 200 bug in programs compiled with Turbo Pascal.,,"runtime, tp",,"Free, no sources",
trch,*,trch,Translates characters,"Translates characters. This used to be the UNIX2DOS program, but translating characters can do more for you. [Similar to, but not the same as, UNIX ""tr"".] (includes Cats GNU LGPL)","trch, unix2dos, tr",,"GNU General Public License, Version 2",
ttf2fnt1,*,GNU ttf2fnt,TTF2FNT lets you convert .TTF files into DOS bitmap fonts. (N.B. This is a Win32 GUI .EXE.),,gpl ttf2fnt win32 dos freedos ttf font vga bitmap,,"GNU General Public License, Version 2",
umm,*,UMM,"UMB enabler, registers hardware UMB memory as available, req. 286+",,"UMB, memory",,"GNU General Public License, Version 2",
uptime,*,uptime,"Reports uptime, even inside DOSEmu","Reports uptime, even inside DOSEmu. Similar to UNIX ""uptime"".",uptime,,Source Code Available (open),
urban,*,U.R.B.A.N The Cyborg Project,Surgically altered into a cyborg and must escape the military base.,,"FPS, Scroller",,GNU General Public License 2.0,
urthwurm,*,UrthWurm,guide a worm through 10 levels of caves (SFCave remake),,"SFCave,urthwurm",,Free w/Sources,
use_umbs,*,USE!UMBS,UMB memory provider (enabler),,umb,,Public Domain,
uucode,*,code,UU/XX encode/decode,,"uuencode,uudecode,xxencode,xxdecode",,GPL,
val,*,val,Experimental linker for DOS,,"freedos, compiler, link",,public domain,
