id,new,title,description,summary,keywords,platforms,copying-policy,sha
djgpp_fq,,DJGPP FAQ,"DJGPP Ofta stÑllda frÜgor, dokumentation",,"gcc, faq, make, kompilator, c, djgpp",DOS,GNU General Public License,0856bab4d04981947f65beb8cb986909f89bec7ae40595ef33633b572f0da3aa
djgpp_fx,,DJGPP Flex,DJGPP Flex (snabb lexikalisk analysator-generator),,"flex, djgpp",DOS,GNU General Public License,ff7b94a1e6705794bbded70e97e5404fbaf587bab3512147362ca8ba8ba12cf0
djgpp_gc,,DJGPP GCC,DJGPP GCC (C-kompilator),,"gcc, kompilator, c, djgpp",DOS,GNU General Public License,09030ffe9e1c1ea39b5fe5709727fdb8bc5ef5906c6832b134411b55ec4bfa29
djgpp_gp,,DJGPP GPP,DJGPP GPP (C++-kompilator),,"kompilator, cpp, gpp, djgpp",DOS,GNU General Public License,94176dbd4dff584bc4604c1d83540b35165aac77c961e39886066b098c1a25ef
djgpp_mk,,DJGPP make,DJGPP make,,"gcc, make, kompilator, c, djgpp",DOS,GNU General Public License,ee7ef0d36fda95d2f2f5a61ae9a07e1d374a6dfc980393ccfe3a0a135d5072e7
djgpp_ob,,DJGPP Objective-C-kompilator,DJGPP Objective-C-kompilator,,"gcc, objective-c, kompilator, djgpp",DOS,GNU General Public License,a2ddc4bf7251e34cd48d66c1ab95f20f8c00a53b9fac29f21c6f2ce757a32552
djgpp_rh,,DJGPP RHIDE,DJGPP RHIDE-redigerare,,"rhide, djgpp",DOS,GNU General Public License,3b5fdb7bb7f5a9becf9edfb897bbd9c9defceefc02e1d28a932f2c720404f658
djgpp_tx,,DJGPP Texinfo,DJGPP Texinfo (info-filvisare),,"texinfo, djgpp",DOS,GNU General Public License,da6ca548e615a07e3c8d2571cf479c35271bcf62f5720bc48ac8626945da8edc
dn2,,DOS Navigator 2,DOS Navigator 2 ôppen kÑllkodÑr en filhanterare baserad pÜ DOS Navigator (c) 1991-99 av RIT Research Labs.,,"dos navigator, norton commander",DOS,"OpenSource, similar to BSD License",2df7db6994db9feac4eb8a537c0432793b3b72e50ed58e61af11e9d364609ec9
dog,,DOG,"Ett alternativs command.com-skal, i stil med FreeCOM, men annorlunda.",,"kommando, skal","DOS (Turbo C++ 1.01, ASM), FreeDOS","GNU General Public License, Version 2",ee35d454f021b790a4f7005922259ceb9b8e6d5483629d4422b2900014e6ed71
dojs,,DOjS,En JavaScript-Canvas med ljud fîr DOS,"DojS Ñr en JavaScript-kapabel duk med WAV- och MIDI-ljudstîd. DoJS kîr i Dosbox och pÜ riktig hÜrdvara eller en virtuell maskin med MS-DOS, FReeDOS eller nÜgon DOS-baserad Windows sÜ som Widnows 95/98/ME. Om du kîr det pÜ riktig hÜrdvara mÜste minst ha en 80386 med 4Mbyte minne. Jag rekommenderar en makin i Pentium-klassen (>= 100Mhz) med Ütminstone 32MByte RAM.","java, JavaScript",DOS,"Various Licenses, See LICENSE file",9bc6865a5c7fabd69083b4163825e4a5f7515988cfc43354d8551a41e62d8302
dos32a,,DOS/32A,DOS/32A Ñr en DOS extender.,,"7-zip, 7z, 7za, arkivprogram",DOS,"Open source, similar to BSD License",7fe8aa00776ad39661a14c1fb394c8d8d2e371a8383d8d287718d81530180c11
dosdef,,DOS Defender,"DOS Defender Ñr ett x86 Real Mode-spel fîr DOS fîr Ludum Dare #31 (December, 2014). Eftersom endas ett fÜtal DOS-maskiner fortfarande existerar Ñr mÜlplattformen egentligen DOSBox, men det bîr fungera i viss utstrÑckning pÜ vilket DOS-system som helst. Spelet kan spelas med musen men Ñr avsett att spelas med en joystick/spelkontroll.",,spel,DOS,Public Domain,788250476e2575ae9d3612748c59865c0ca690a93607e038d0b83216705f8b0c
dosfsck,,DOSFSCK,Kontrollerar PC/MS-DOS filsystem och fîrsîker valfritt reparera dem,,"scandisk,chkdsk",DOS,"GNU General Public License, Version 2",d576d15fe364628368f889e5c302b340abe55616703b9805258d629b04d15221
doshexed,,DOSHEXED,Hex-redigerare och -visare,,hex-redigerare visare felsîkning,DOS,"GNU General Public License, Version 3",def6b12f5281fde6821e50aec7ab38aec88749110eb7894954ec5f13f12e6aef
doslfn,,DOSLFN,TillhandahÜller LFN (LÜnga FilNamn) API:et i ren DOS (utan Windows),,"lÜnga filnamn, lfn",dos ('386+),Freeware w/sources,230250d09645addafa6f423ae7a4d9fc24d21f2ca5e4d3c9e5d99d3eca2b036d
