id,new,title,description,summary,keywords,platforms,copying-policy,sha
kasmar,,Kasmar,"Un Çditeur de polices Unicode permettant de crÇer ou de modifier des polices Unicode matricielles utilisÇes dans Blocek",,"Çditeur, Unicode",DOS,"Licence publique gÇnÇrale GNU",71726ea08cecf6ac4125833fa7c5210ef36b8497a1aba70130ba5605d60af4bc
kernel,,"The FreeDOS Kernel","Le noyau FreeDOS","Le noyau FreeDOS (prend en charge FAT12/FAT16/FAT32). Comprend COUNTRY.SYS, SETVER.SYS et SYS.COM.","noyau, FreeDOS, DOS, MSDOS","DOS, FreeDOS, DOSEMU (OpenWatcom C ou Turbo C, NASM, UPX)","Licence publique gÇnÇrale GNU, version 2",feb32ed1b88a2b3cd5cf4110308ec0cc11dd373156d47bbab1b77091963c8096
keyb,,keyb,"Pilote de niveau BIOS de claviers internationaux","Pilote de clavier de niveau BIOS pour la prise en charge des claviers internationaux.","keyb, clavier, pilote",DOS,"Licence publique gÇnÇrale GNU, version 2",fa1aabf10795b6411e07f4e8feb783e5f374cf934c3169df92f71aa487d02a83
keyb_lay,,"KEYB layouts","Dispositions de clavier pour KEYB",,"keyb,dispositions",DOS,"Licence publique gÇnÇrale GNU, version 2",dce8e98517e4c862c74e1212a6ef6a329ff12e7e4f3ea6f4cc71fbe6a611c082
kiloblas,,Kiloblaster,"Kiloblaster est un jeu d'arcade rapide de tir dans l'espace",,,DOS,"Licence freeware Kiloblaster et Xargon",0078b069f2dd6f2047a2be280ab8edc3cb2778c90ca4b3086484a5d7c6df727f
kittenc,,kittenc,"Compilateur de ressources compatible avec catgets/kittengets",,"dos, lib, dÇveloppement",DOS,"Licence publique gÇnÇrale limitÇe GNU, version 2.1 (ou ultÇrieure)",362923a8e268321ee321a877fbb4b151adfaed4ab8a1ebdece0ab4176358ab9c
kraptor,,KRaptor,"Jeu libre similaire Ö Raptor avec plusieurs niveaux.","Kraptor est un jeu libre complet similaire Ö Raptor avec plusieurs niveaux.","raptor, jeu, tir","DOS, Win32, GNU/Linux","Licence MIT",0343be7a7caf2a93b76f41a08e74784ad75cb765174a8a3d6d9b041669e49714
label,,LABEL,"DÇfinit ou modifie le libellÇ du volume de disque",,"Çtiquette, volume de disque","DOS, FreeDOS","Licence publique gÇnÇrale GNU, version 2",2c33c9a08b8fc5c38fb66b45507c54c4e652b2a70d2c5f83531e27ec51255a26
lame,,LAME,"Manipuler ou convertir les fichiers MP3","Utilitaires pour manipuler les fichiers de musique MP3, y compris la conversion vers d'autres formats et la dÇcompression vers le format .WAV.","mp3, lame, convertir, audio, wav","DOS, POSIX, Win32","Licence publique gÇnÇrale limitÇe GNU, version 2",666059370a391dbb958941f80d201980e1a8432d136834e792911540a5d920ab
lbacache,,LBACACHE,"Tamon de disque pour lecteurs et disquettes","Tampon de disque, met en tampon ce qui est lu pour les disques durs max 8 CHS / LBA et les disquettes, XMS, 386 ou mieux - tickle est fourni avec lbacache !","cache, smartdrv, nwcache","DOS 386+ (nasm assembler), FreeDOS","Licence publique gÇnÇrale GNU, version 2",29215239007e2208ffbefec7967eae45b6d101f1b9cf2c844bdee347ca261a16
ldebug,,lDebug,"DÇbogeur avancÇ fondÇ sur FreeDOS Debug","Comprend la prise en charge du client DPMI pour des segments 32 bits et 16 bits, un assembleur et un dÇsassembleur de niveau 686, un Çvaluateur d'expression, un mode dans DOS et un mode de chargement Ö l'amoráage, la lecture de fichiers de script, E/S du port sÇrie, des points d'arràt permanents, le traáage conditionnel, le traáage avec des tampons et la rÇpÇtition automatique de certaines commandes.","debug, dÇbogueur, dÇbogueur DPMI, dÇbogueur amoráable","DOS (effectuez une compilation croisÇe depuis GNU/Linux avec NASM et un compilateur C)","Fair license (licence Çquitable)",7a77415447b21761c11cd605e085f111e82a25962fe2a8fc885a7281c94b8eed
less,,less,"Visionneuse de page avec dÇplacement vers l'arriäre","Less est un programme similaire Ö more, mais qui permet le dÇplacement Ö rebours dans le fichier aussi bien que le dÇplacement vers l'avant. Aussi, less n'a pas Ö lire toute l'entrÇe avant de dÇmarrer, donc avec de fichiers d'entrÇe imposants il dÇmarre plus vite que les Çditeurs de texte comme vi.","less,more,pager",DOS,"Licence BSD simplifiÇe (Ö 2 clauses)",3c4c43b953bcff965037a21338bd0e4f604df1d7be72e41449854593a6703db0
lfndos,,LFNDOS,"Fournit la prise en charge des noms longs","Fournit l'API de noms de fichier longs Windows 95 aux programmes DOS. Tout programme DOS pouvant utiliser des noms de fichiers longs, par exemple DOS 7 Command.com, edit.com et tous les programmes DJGPP, peut les charger et les enregistrer avec LFNDOS. Conáu pour les utilisateurs Win95 utilisant le mode DOS, bien qu'il fonctionne Çgalement sous les versions DOS anciennes.","nom de fichier long, lfn","DOS, FreeDOS","Licence publique gÇnÇrale GNU, version 2",fd4e8f60f1bbd1d5840392b65703861831a69a274fb199ae80755d7e5829a404
lha,,"LHa pour UNIX","Gestionnaire d'archives fonctionnant avec les archives LHA/LZH",,"LHA,LHZ,gestionnaire d'archive","DOS ","Logiciel libre, cf. license.txt",48faa933e1d5dd30173b0bf362a20d70427ab06edd385c4e5c44e8a980005e9f
